normal,predict
[14009.4345703125],[1537.8828125]
[800952512.0],[45713192.0]
[353111.4375],[312628.84375]
[4755245498368.0],[1303644471296.0]
[475.3999328613281],[372.4820556640625]
[70905360.0],[151784832.0]
[1514258.375],[234000.1875]
[6841394176.0],[2028063872.0]
[330825.03125],[419055.1875]
[27.400001525878906],[12.950477600097656]
[343.5999450683594],[96.76189422607422]
[24183258.0],[9594259.0]
[155292.671875],[178239.125]
[1.3695846689066189e+17],[1.4557361079320576e+16]
[221168.828125],[4.105269908905029]
[11.600001335144043],[13.0723237991333]
[927817.25],[3.3002007007598877]
[1181329.5],[199067.796875]
[27.400001525878906],[0.8411251902580261]
[209214.203125],[6.752786636352539]
[343.5999450683594],[292.365234375]
[3.133934556676096e+17],[1.6365665361749606e+17]
[13144.1640625],[933.8576049804688]
[14630.80078125],[15189.994140625]
[11.600001335144043],[10.115375518798828]
[278495.71875],[13534.1953125]
[13144.1640625],[0.1262618750333786]
[927817.25],[15691.39453125]
[1141407.75],[5285.65087890625]
[321.99993896484375],[22.267208099365234]
[209214.203125],[267130.34375]
[1141854.25],[347891.65625]
[827258765312.0],[392324972544.0]
[2036322.75],[75714.578125]
[358415.0],[172082.4375]
[27.400001525878906],[6.887361526489258]
[12.399998664855957],[0.1845187246799469]
[343.5999450683594],[80.21131134033203]
[4403693568.0],[1057559936.0]
[5.967679513975983e+23],[1.5174851994884716e+25]
[2.2536425951734006e+19],[6.073382054048616e+20]
[25.39000129699707],[3.0518627166748047]
[13144.1640625],[918.6139526367188]
[257056571392.0],[220288974848.0]
[26361.900390625],[47272.6484375]
[212.0000457763672],[191.24362182617188]
[827255619584.0],[562713264128.0]
[11954.5517578125],[37667.984375]
[6293458432.0],[2594700288.0]
[296659840.0],[1044192832.0]
[16217752469504.0],[42173542170624.0]
[188627.34375],[138919.109375]
[9.366468285514939e+21],[1.328868275586446e+21]
[150.8000030517578],[207.63685607910156]
[0.050048828125],[0.25567013025283813]
[4661.27099609375],[4958.373046875]
[209214.203125],[200204.984375]
[51062352.0],[30460090.0]
[12.0],[9.152494430541992]
[11.600001335144043],[13.199953079223633]
[3.7113721374956924e+23],[1.6330045043086015e+23]
[6471940046848.0],[7413537701888.0]
[1.0],[0.013151014223694801]
[391702728671232.0],[4451751319044096.0]
[321.99993896484375],[175.56021118164062]
[0.12999998033046722],[0.1353592425584793]
